Tahun,Quarter,Telur Ayam Ras
2010,3,16424.78947368421
2010,4,16069.407407407407
2011,1,17747.266666666666
2011,2,16132.603448275862
2011,3,18094.4262295082
2011,4,17228.6875
2012,1,17792.70909090909
2012,2,16938.725806451614
2012,3,18342.69491525424
2012,4,17389.57627118644
2013,1,18956.5
2013,2,17787.095238095237
2013,3,20420.82485875706
2013,4,18927.22641509434
2014,1,20134.76785714286
2014,2,19344.375
2014,3,21086.735849056604
2014,4,20524.392156862745
2015,1,21736.50909090909
2015,2,21327.16393442623
2015,3,22583.050847457627
2015,4,22675.483870967742
2016,1,24285.737704918032
2016,2,22999.0
2016,3,23407.931034482757
2016,4,22474.142857142866
2017,1,21566.0
2017,2,21540.0
2017,3,22355.0
2017,4,22724.56140350877
2018,1,23917.64705882353
2018,2,24738.13559322034
2018,3,25362.90322580645
2018,4,24310.15625
2019,1,24809.016393442624
2019,2,24947.54098360656
2019,3,24642.424242424244
2019,4,23868.26923076923
