Tahun,Quarter,Cabe Merah Keriting
2010,3,26958.473684210527
2010,4,26754.01851851852
2011,1,33006.183333333334
2011,2,16810.58620689655
2011,3,15852.573770491803
2011,4,27195.578125
2012,1,25429.47272727273
2012,2,25014.483870967742
2012,3,23686.101694915254
2012,4,19450.542372881355
2013,1,25223.883333333335
2013,2,29359.301587301587
2013,3,31280.2790960452
2013,4,33015.8679245283
2014,1,28325.964285714286
2014,2,20074.303571428572
2014,3,20173.79245283019
2014,4,49589.098039215685
2015,1,31653.072727272727
2015,2,27047.803278688523
2015,3,34356.661016949154
2015,4,28652.09677419355
2016,1,36558.19672131148
2016,2,31418.095238095237
2016,3,34677.41379310345
2016,4,47582.968253968254
2017,1,43792.0
2017,2,31280.0
2017,3,31498.333333333332
2017,4,34194.73684210526
2018,1,39848.03921568627
2018,2,39044.91525423729
2018,3,34929.032258064515
2018,4,32443.75
2019,1,27561.904761904763
2019,2,40061.016949152545
2019,3,53874.07407407407
2019,4,43457.89473684211
