Tahun,Quarter,Nilai Tukar Petani
2009,1,98.77
2009,2,99.41
2009,3,100.24
2009,4,101.13
2010,1,101.09
2010,2,101.16
2010,3,101.82
2010,4,102.89
2011,1,103.33
2011,2,104.5
2011,3,105.11
2011,4,105.64
2012,1,105.1
2012,2,104.77
2012,3,105.26
2012,4,105.72
2013,1,105.19
2013,2,104.95
2013,3,104.32
2013,4,105.15
2014,1,101.79
2014,2,101.88
2014,3,102.06
2014,4,102.36
2015,1,102.19
2015,2,100.02
2015,3,101.28
2015,4,102.95
2016,1,102.23
2016,2,101.55
2016,3,101.56
2016,4,101.31
2017,1,100.33
2017,2,100.15
2017,3,101.6
2017,4,103.07
2018,1,102.33
2018,2,101.99
2018,3,102.56
2018,4,103.12
2019,1,102.73
2019,2,102.33
2019,3,103.88
2019,4,104.1
