Tahun,Quarter,IHSG
2008,1,2447.299
2008,2,2349.105
2008,3,1832.507
2008,4,1355.408
2009,1,1434.0739999999994
2009,2,2026.78
2009,3,2467.591
2009,4,2534.356
2010,1,2777.301
2010,2,2913.684
2010,3,3501.296
2010,4,3703.512
2011,1,3678.6740000000004
2011,2,3888.5690000000004
2011,3,3549.032
2011,4,3821.992
2012,1,4121.5509999999995
2012,2,3955.577
2012,3,4262.561
2012,4,4316.687
2013,1,4940.986
2013,2,4818.895
2013,3,4316.1759999999995
2013,4,4274.177
2014,1,4768.277
2014,2,4878.582
2014,3,5137.5790000000015
2014,4,5226.947
2015,1,5518.675
2015,2,4910.6579999999985
2015,3,4223.9079999999985
2015,4,4593.008
2016,1,4845.371
2016,2,5016.647
2016,3,5364.804
2016,4,5296.710999999998
2017,1,5568.106
2017,2,5829.708000000001
2017,3,5900.854
2017,4,6355.654
2018,1,6188.986999999999
2018,2,5799.236999999999
2018,3,5976.553000000001
2018,4,6194.498000000001
2019,1,6468.755
2019,2,6358.629
2019,3,6169.102
2019,4,6228.317
