Tahun,Quarter,Retail Growth
2011,1,1.9202460286287524
2011,2,3.1482506437972226
2011,3,-3.5066394252583226
2011,4,2.998344088630795
2012,1,4.389696356712273
2012,2,5.499932310076576
2012,3,6.226922706538698
2012,4,5.61357488234225
2013,1,3.118735193970798
2013,2,4.066679913968756
2013,3,2.4944680380426796
2013,4,3.1251171807974267
2014,1,2.7608709974351644
2014,2,-0.16957151415560523
2014,3,2.1814709491331428
2014,4,-2.168739118450071
2015,1,-0.8994399266111903
2015,2,-0.1389961991790886
2015,3,-5.091327201119053
2015,4,-0.7703521873473558
2016,1,-1.4886613269246478
2016,2,6.862761866901163
2016,3,3.4765343131570345
2016,4,3.1757349540014292
2017,1,8.393885687259548
2017,2,7.253973912029815
2017,3,11.72709761359608
2017,4,11.132844656584643
2018,1,2.0683816862844604
2018,2,0.3321198140034719
2018,3,2.8675656547590367
2018,4,2.5212839103195837
2019,1,5.484819953346949
2019,2,3.0510589700633046
