Tahun,Quarter,Daging Ayam Broiler
2010,3,27370.526315789477
2010,4,25643.88888888889
2011,1,23363.93333333333
2011,2,23737.413793103453
2011,3,26125.83606557377
2011,4,24539.25
2012,1,25774.96363636364
2012,2,24574.8064516129
2012,3,26324.1186440678
2012,4,24890.406779661014
2013,1,26503.116666666665
2013,2,25997.650793650795
2013,3,30579.058038007188
2013,4,28998.867924528306
2014,1,28994.357142857138
2014,2,28938.25
2014,3,30662.773584905663
2014,4,28130.235294117647
2015,1,28561.090909090908
2015,2,29101.934426229513
2015,3,32055.694915254237
2015,4,30410.967741935485
2016,1,31858.852459016398
2016,2,30680.15873015873
2016,3,32130.689655172413
2016,4,30538.84126984127
2017,1,32164.0
2017,2,32343.0
2017,3,33360.833333333336
2017,4,31542.10526315789
2018,1,32785.294117647056
2018,2,35719.49152542373
2018,3,37033.06451612903
2018,4,35062.5
2019,1,34041.80327868852
2019,2,34164.75409836065
2019,3,32958.333333333336
2019,4,33911.53846153846
