Tahun,Quarter,Beras
2010,3,6685.0526315789475
2010,4,6861.425925925926
2011,1,11817.416666666666
2011,2,7071.637931034483
2011,3,7397.196721311476
2011,4,7700.546875
2012,1,8083.8
2012,2,7928.8387096774195
2012,3,8022.5084745762715
2012,4,8178.322033898305
2013,1,8383.883333333333
2013,2,8282.777777777777
2013,3,8434.30816640986
2013,4,8528.943396226416
2014,1,8926.32142857143
2014,2,8804.589285714286
2014,3,8951.811320754718
2014,4,9484.098039215687
2015,1,10029.236363636364
2015,2,9945.639344262296
2015,3,10149.35
2015,4,10533.387096774193
2016,1,10861.0
2016,2,10626.349206349207
2016,3,10573.103448275862
2016,4,10679.063492063493
2017,1,11353.0
2017,2,11279.0
2017,3,11287.5
2017,4,11486.842105263158
2018,1,12140.196078431372
2018,2,11862.71186440678
2018,3,11738.709677419354
2018,4,11789.84375
2019,1,11928.57142857143
2019,2,11727.118644067798
2019,3,11701.851851851852
2019,4,11744.736842105263
