Tahun,Quarter,IKK
2003,1,65.6
2003,2,77.3
2003,3,79.7
2003,4,82.9
2004,1,82.4
2004,2,92.4
2004,3,100.7
2004,4,119.1
2005,1,91.8
2005,2,101.7
2005,3,90.1
2005,4,86.6
2006,1,90.9
2006,2,91.1
2006,3,96.1
2006,4,99.1
2007,1,93.3
2007,2,95.8
2007,3,96.7
2007,4,99.1
2008,1,89.9
2008,2,79.1
2008,3,93.5
2008,4,90.6
2009,1,98.6
2009,2,109.1
2009,3,110.8
2009,4,108.7
2010,1,107.4
2010,2,111.4
2010,3,107.6
2010,4,109.3
2011,1,107.1
2011,2,109.0
2011,3,115.0
2011,4,116.6
2012,1,107.3
2012,2,114.4
2012,3,117.7
2012,4,116.4
2013,1,116.8
2013,2,117.1
2013,3,107.1
2013,4,116.5
2014,1,118.2
2014,2,116.3
2014,3,119.8
2014,4,116.5
2015,1,116.9
2015,2,111.3
2015,3,97.5
2015,4,107.5
2016,1,109.8
2016,2,113.7
2016,3,110.0
2016,4,115.4
2017,1,121.5
2017,2,122.4
2017,3,123.8
2017,4,126.4
2018,1,121.6
2018,2,128.1
2018,3,122.4
2018,4,127.0
2019,1,124.4
2019,2,126.4
2019,3,121.8
2019,4,124.2
