Tahun,Quarter,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Daging Ayam,Daging Sapi,Gula Pasir,Minyak Goreng,Telur Ayam
2016,2,44900.0,38690.625,11437.5,33371.875,37056.25,36950.0,117068.75,17337.5,13637.5,23178.125
2016,3,40476.74418604651,37012.79069767442,11249.418604651162,45236.62790697674,39173.83720930233,32150.581395348836,114088.95348837209,16041.860465116279,13612.209302325582,21786.627906976744
2016,4,40182.5,38960.0,11202.5,47267.5,52077.5,32617.5,113700.0,15430.0,13705.0,22780.0
2017,1,36625.39682539683,38916.666666666664,11225.396825396825,41828.57142857143,77985.71428571429,32138.88888888889,113276.98412698413,15373.015873015873,13936.507936507936,21601.5873015873
2017,2,33894.666666666664,45024.666666666664,11189.333333333334,32231.333333333332,44757.333333333336,32674.0,114188.0,15049.333333333334,14032.0,21724.0
2017,3,26786.470588235294,27049.41176470588,11307.64705882353,32897.64705882353,32869.41176470588,32120.58823529412,114215.88235294117,14627.058823529413,13947.058823529413,22200.0
2017,4,26521.052631578947,24710.526315789473,11518.421052631578,36278.94736842105,35331.57894736842,33302.63157894737,114265.78947368421,14405.263157894737,13936.842105263158,25042.105263157893
2018,1,26523.387096774193,28406.451612903227,11991.935483870968,41097.58064516129,44447.58064516129,32808.87096774193,114114.51612903226,14099.193548387097,13815.322580645161,23826.612903225807
2018,2,34560.0,30398.125,11733.75,39654.375,41966.875,36455.625,115541.875,13910.625,13726.25,25101.875
2018,3,24607.14285714286,25395.238095238095,11710.119047619048,33213.69047619047,37640.47619047619,35001.19047619047,115839.28571428571,13510.714285714286,13467.261904761905,24022.02380952381
2018,4,30070.0,24055.0,11805.0,33607.5,39407.5,37055.0,115890.0,13240.0,13267.5,26160.0
2019,1,31767.213114754097,26328.688524590165,11890.16393442623,28831.967213114753,34569.67213114754,34044.262295081964,116159.01639344262,13146.72131147541,13211.475409836066,24842.622950819674
2019,2,37509.756097560974,42784.14634146341,11709.756097560976,45751.829268292684,45326.21951219512,34668.90243902439,117946.9512195122,13696.951219512195,13185.975609756097,24970.731707317074
2019,3,26913.88888888889,33470.833333333336,11702.777777777777,56879.166666666664,63926.38888888889,31963.88888888889,118284.72222222222,13745.833333333334,13188.888888888889,24668.055555555555
