Tahun,Quarter,IKK,Car Sales,Motorcycle Sales,Cement Consumption,Inflation,Exchange Rate,Daya Beli GDP,Daya Beli RT,Daya Beli Nasional,Retail Growth,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Daging Ayam,Daging Sapi,Gula Pasir,Minyak Goreng,Telur Ayam
2016,3,12.82051282051282,4.81374639408001,-15.696141355130965,3.0501528026223967,1.6607258080190046,-5.197805078978835,4.09426430285047,4.893233681226183,6.727826361134693,2.551852210953645,42377.96610169492,37242.372881355936,11317.796610169491,36928.813559322036,37523.72881355932,33999.15254237288,115208.47457627118,16699.15254237288,13611.016949152543,22423.728813559323
2016,4,7.348837209302328,12.472823575272152,-4.766589268965449,-6.726651869952704,1.8245126130458307,-3.718995763464006,5.552411267388546,4.937109684228135,14.33430202092587,2.1185601290106186,39726.19047619047,37842.06349206349,11218.253968253968,50648.4126984127,44277.77777777778,31786.507936507936,113673.80952380953,15561.111111111111,13649.20634920635,21858.73015873016
2017,1,10.655737704918034,5.678017463916141,-6.841621091309358,0.8551048221824509,2.020012165802673,-1.2708165284226136,6.577898891870593,4.838451734346515,8.410579703138742,7.4034816818613445,36625.39682539683,38916.666666666664,11225.396825396825,41828.57142857143,77985.71428571429,32138.88888888889,113276.98412698413,15373.015873015873,13936.507936507936,21601.5873015873
2017,2,7.651715039577844,-5.932664204635563,-10.930458989865743,-3.2182460044072214,2.3421124427641895,-0.06568660179278041,5.149844856677533,4.37072233217468,2.0295319270609014,6.357008028666531,32715.74074074074,48425.0,11177.777777777777,32196.296296296296,45512.96296296296,32420.37037037037,114020.37037037036,15087.962962962964,14034.25925925926,21494.444444444445
2017,3,12.545454545454549,7.760945178377687,18.091132286503008,21.916890540510025,1.9516771552414838,1.486903393029837,5.587232143030452,4.762060843326333,3.2469835012525428,10.785660822374924,31608.870967741936,31963.709677419356,11225.0,32250.0,37680.645161290326,33380.645161290326,114487.90322580645,14843.548387096775,13980.645161290322,22368.548387096773
2017,4,9.532062391681118,-1.5192550933634363,-2.1543932228107354,10.303594677618877,1.9010900999431393,2.1207526472159843,5.661357775615605,4.905397453720961,-2.6518256286088615,9.600453011569329,25340.47619047619,24584.920634920636,11423.015873015873,34362.69841269841,32192.06349206349,31638.88888888889,114097.61904761905,14454.761904761905,13937.301587301587,22929.365079365078
2018,1,0.08230452674897748,3.3844182234636477,3.9924711281463576,6.610873561282826,1.8026193179866095,1.688760821174684,5.394901883115709,5.0154271076634505,3.943474816757453,-0.34576053637737386,26523.387096774193,28406.451612903227,11991.935483870968,41097.58064516129,44447.58064516129,32808.87096774193,114114.51612903226,14099.193548387097,13815.322580645161,23826.612903225807
2018,2,4.656862745098023,5.021456298597826,18.95685015026851,-3.3147054305945445,1.7741714226904601,4.845150887929606,6.3600084354814115,5.508589527904251,5.217475917844716,-2.7873163099438436,36123.275862068964,31223.275862068964,11750.0,40353.44827586207,39468.10344827586,35471.55172413793,115550.86206896552,13944.827586206897,13749.137931034482,24507.758620689656
2018,3,-1.1308562197091976,12.148681712016153,4.865689336990897,-8.952086174544904,1.626532497113286,9.580848273537846,6.773850557950145,5.386256894943032,4.912234771828516,-0.011671773571574435,27257.25806451613,26871.774193548386,11680.645161290322,35004.83870967742,42070.967741935485,37035.48387096774,115765.32258064517,13707.258064516129,13584.677419354839,25359.677419354837
2018,4,0.4746835443038,6.904020724035087,7.440432486701498,-10.823031700959351,1.782901839908608,9.212295661290003,5.716487155677496,5.239039675713886,5.535955845685003,-0.910661004596692,25751.5625,24517.96875,11761.71875,33182.03125,37652.34375,35064.0625,115816.40625,13342.1875,13359.375,24303.90625
2019,1,2.3026315789473673,-13.069845324640195,15.366100992525533,10.770819108371366,1.3934211565744345,4.118271862619727,5.266504221014423,5.41032226346263,2.8071383155720664,2.061763625023484,31767.213114754097,26328.688524590165,11890.16393442623,28831.967213114753,34569.67213114754,34044.262295081964,116159.01639344262,13146.72131147541,13211.475409836066,24842.622950819674
