Tahun,Quarter,IKK,Car Sales,Motorcycle Sales,Cement Consumption,Inflation,Exchange Rate,Daya Beli GDP,Daya Beli RT,Daya Beli Nasional,Retail Growth
2013,1,8.853681267474368,18.01060479209027,1.5102421367547247,8.51690459144676,3.032578696578843,6.992185028488729,2.5401901588108178,5.180793879405954,3.006638795424287,0.237473143128446
2013,2,2.3601398601398538,7.6148521082441745,10.852798110553197,6.64698644180135,2.9734285547777177,5.307711040758045,2.452228882269102,4.437855918991973,1.6526577075773208,0.5488211802185012
2013,3,-9.005947323704344,8.890754867357398,14.642328273612915,1.422239076693721,4.97743893794778,12.07932525342068,3.633402659776829,3.767124987851055,4.848276599210809,1.2070288461619358
2013,4,0.0859106529209619,7.254770550126199,12.66867479263436,6.030833983865125,4.304600024197557,20.376366215985865,5.844031307693932,4.262719437333496,3.4562862274203816,-0.08694823098427609
2014,1,1.1986301369863117,10.977818017202345,1.1844863197082889,3.7077056821315235,4.116345001618085,21.92127020890602,5.954227446379878,6.140147598395451,5.723313752207714,-0.5155978701000613
2014,2,-0.6831767719897464,2.459080662550228,13.00586648461799,3.6447593581856452,3.637091534601044,18.53234266044277,5.970168837379041,5.871562903502858,5.084130256885543,-1.818264022942618
2014,3,11.85807656395892,-5.059729973467874,-0.8933716344598719,2.1850837555825953,2.4518066851283957,10.358373550328182,6.873105351739061,5.628494900276547,7.034381374819421,-1.7374179928425566
2014,4,0.0,-14.39980601297599,-7.092769843041746,2.8716103219791345,3.976285355652584,5.481851422147721,1.6886328945349804,4.553435150910668,0.05773923081160426,-3.628392267592404
2015,1,-1.0998307952622688,-14.05079436592277,-19.103754090065085,-0.8263340822214027,3.1999588568970876,8.114870397846573,2.468784969895199,3.8580400886359056,4.097276563792774,-4.0275730508729835
2015,2,-4.299226139294932,-22.470082935555148,-29.25937614116395,-1.9082533781754618,3.766547604706369,12.946705507984113,2.249398395279467,3.350332210616692,-1.9122885071945372,-3.74146156534613
2015,3,-18.61435726210351,-17.67936976655343,-11.001520566554246,4.362463459042076,3.7568612608376672,17.81336752849252,2.0477585381312835,3.8089839868632893,-0.8628631688354593,-5.4212078614417
2015,4,-7.725321888412018,-9.629164230382315,-8.56493435988277,8.62708033122943,2.5955278258335017,12.408351418294483,5.688241672858264,4.307034358714112,0.9668818700527604,-1.562301855263427
2016,1,-6.073567151411474,-5.330377128609076,-6.266187261026657,4.64323614642228,2.269639852044501,5.623713068511371,2.922775658134391,4.29537504594435,4.846165143362401,-1.565225846073106
2016,2,2.1563342318059453,8.914360448617508,-7.054850524402545,1.5166623608597662,1.805403289075369,1.4832257989986442,3.7141764269313926,4.870116439366411,8.026267365767481,6.217529396743925
2016,3,12.82051282051282,4.81374639408001,-15.696141355130965,3.0501528026223967,1.6607258080190046,-5.197805078978835,4.09426430285047,4.893233681226183,6.727826361134693,2.551852210953645
2016,4,7.348837209302328,12.472823575272152,-4.766589268965449,-6.726651869952704,1.8245126130458307,-3.718995763464006,5.552411267388546,4.937109684228135,14.33430202092587,2.1185601290106186
2017,1,10.655737704918034,5.678017463916141,-6.841621091309358,0.8551048221824509,2.020012165802673,-1.2708165284226136,6.577898891870593,4.838451734346515,8.410579703138742,7.4034816818613445
2017,2,7.651715039577844,-5.932664204635563,-10.930458989865743,-3.2182460044072214,2.3421124427641895,-0.06568660179278041,5.149844856677533,4.37072233217468,2.0295319270609014,6.357008028666531
2017,3,12.545454545454549,7.760945178377687,18.091132286503008,21.916890540510025,1.9516771552414838,1.486903393029837,5.587232143030452,4.762060843326333,3.2469835012525428,10.785660822374924
2017,4,9.532062391681118,-1.5192550933634363,-2.1543932228107354,10.303594677618877,1.9010900999431393,2.1207526472159843,5.661357775615605,4.905397453720961,-2.6518256286088615,9.600453011569329
2018,1,0.08230452674897748,3.3844182234636477,3.9924711281463576,6.610873561282826,1.8026193179866095,1.688760821174684,5.394901883115709,5.0154271076634505,3.943474816757453,-0.34576053637737386
2018,2,4.656862745098023,5.021456298597826,18.95685015026851,-3.3147054305945445,1.7741714226904601,4.845150887929606,6.3600084354814115,5.508589527904251,5.217475917844716,-2.7873163099438436
2018,3,-1.1308562197091976,12.148681712016153,4.865689336990897,-8.952086174544904,1.626532497113286,9.580848273537846,6.773850557950145,5.386256894943032,4.912234771828516,-0.011671773571574435
2018,4,0.4746835443038,6.904020724035087,7.440432486701498,-10.823031700959351,1.782901839908608,9.212295661290003,5.716487155677496,5.239039675713886,5.535955845685003,-0.910661004596692
2019,1,2.3026315789473673,-13.069845324640195,15.366100992525533,10.770819108371366,1.3934211565744345,4.118271862619727,5.266504221014423,5.41032226346263,2.8071383155720664,2.061763625023484
